Column,Cluster,Number,Categories,Description,Items,Locked,Framed,Column1
E,1,5,Lighting & Illumination,Redstone Lamps,,,,
E,1,6,Lighting & Illumination,Screens (All),,,,
E,1,7,Lighting & Illumination,Sea Lanterns,,,,
E,1,8,Lighting & Illumination,Torches (Normal & Soul),,,,
E,1,9,Lighting & Illumination,,,,,
E,2,1,Decorative Materials,Bricks,,,,
E,2,2,Decorative Materials,Carpet (All Colors),,,,
E,2,3,Decorative Materials,Concrete,,,,
E,2,4,Decorative Materials,Concrete Powder,,,,
E,2,5,Decorative Materials,Copper Blocks (Cut/Chiseled/Bricks/Tiles),,,,
E,2,6,Decorative Materials,Copper Components (Grates/Bulbs/Doors/Trapdoors),,,,
E,2,7,Decorative Materials,Dyes (All Colors),,,,
E,2,8,Decorative Materials,Glass,,,,
E,2,9,Decorative Materials,Glass Panes,,,,
F,1,1,Decorative Artifacts,Armor Trims & Banner Patterns,,,,
F,1,2,Decorative Artifacts,Pottery Sherds (All),,,,
F,1,3,Decorative Artifacts,Sniffer Eggs,,,,
F,1,4,Decorative Artifacts,,,,,
F,1,5,Decorative Artifacts,,,,,
F,1,6,Decorative Artifacts,,,,,
F,1,7,Decorative Artifacts,,,,,
F,1,8,Decorative Artifacts,,,,,
F,1,9,Decorative Artifacts,,,,,
F,2,1,Decorative Materials,Nether Bricks,,,,
F,2,2,Decorative Materials,Quartz Blocks,,,,
F,2,3,Decorative Materials,Stained Glass (Colors),,,,
F,2,4,Decorative Materials,Terracotta (All / Colored / Glazed),,,,
F,2,5,Decorative Materials,Wool (All Colors),,,,
F,2,6,Decorative Materials,,,,,
F,2,7,Decorative Materials,,,,,
F,2,8,Decorative Materials,,,,,
F,2,9,Decorative Materials,,,,,
G,1,1,UNUSED,,,,,
G,1,2,UNUSED,,,,,
G,1,3,UNUSED,,,,,
G,1,4,UNUSED,,,,,
G,1,5,UNUSED,,,,,
G,1,6,UNUSED,,,,,
G,1,7,UNUSED,,,,,
G,1,8,UNUSED,,,,,
G,1,9,UNUSED,,,,,
G,2,1,Building Shapes,Iron Bars,,,,
G,2,2,Building Shapes,Stone & Mineral Slabs (All),,,,
G,2,3,Building Shapes,Stone & Mineral Stairs (All),,,,
G,2,4,Building Shapes,Stone & Mineral Walls (All),,,,
G,2,5,Building Shapes,Wood Fences & Gates (All),,,,
G,2,6,Building Shapes,Wood Slabs (All),,,,
G,2,7,Building Shapes,Wood Stairs (All),,,,
G,2,8,Building Shapes,,,,,
G,2,9,Building Shapes,,,,,
H,1,1,Building Utilities,Buckets (Empty & Fluid),,,,
H,1,2,Building Utilities,Crafting Table,,,,
H,1,3,Building Utilities,Furnace,,,,
H,1,4,Building Utilities,Item Frames (Normal & Glow),,,,
H,1,5,Building Utilities,Ladders,,,,
H,1,6,Building Utilities,Scaffolding,,,,
H,1,7,Building Utilities,Sticks,,,,
H,1,8,Building Utilities,,,,,
H,1,9,Building Utilities,,,,,
H,2,1,Core Stone & Deepslate,Andesite (All),,,,
H,2,2,Core Stone & Deepslate,Bricks Variants,,,,
H,2,3,Core Stone & Deepslate,Cobbled Deepslate,,,,
H,2,4,Core Stone & Deepslate,Cobblestone,,,,
H,2,5,Core Stone & Deepslate,Deepslate,,,,
H,2,6,Core Stone & Deepslate,Diorite (All),,,,
H,2,7,Core Stone & Deepslate,Granite (All),,,,
H,2,8,Core Stone & Deepslate,Polished Deepslate,,,,
H,2,9,Core Stone & Deepslate,Smooth Stone,,,,
I,1,1,Exotic & Biome Stone,Amethyst Block,,,,
I,1,2,Exotic & Biome Stone,Amethyst Shard,,,,
I,1,3,Exotic & Biome Stone,Basalt,,,,
I,1,4,Exotic & Biome Stone,Blackstone,,,,
I,1,5,Exotic & Biome Stone,Blackstone Bricks,,,,
I,1,6,Exotic & Biome Stone,Calcite,,,,
I,1,7,Exotic & Biome Stone,Dripstone Block,,,,
I,1,8,Exotic & Biome Stone,Gilded Blackstone,,,,
I,1,9,Exotic & Biome Stone,Pointed Dripstone,,,,
I,2,1,Core Stone & Deepslate,Smooth Stone Block (Addon),,,,
I,2,2,Core Stone & Deepslate,Stone,,,,
I,2,3,Core Stone & Deepslate,Stone Bricks,,,,
I,2,4,Core Stone & Deepslate,Tuff (All),,,,
I,2,5,Core Stone & Deepslate,,,,,
I,2,6,Core Stone & Deepslate,,,,,
I,2,7,Core Stone & Deepslate,,,,,
I,2,8,Core Stone & Deepslate,,,,,
I,2,9,Core Stone & Deepslate,,,,,
J,1,1,Exotic & Biome Stone,Polished Basalt,,,,
J,1,2,Exotic & Biome Stone,Polished Blackstone,,,,
J,1,3,Exotic & Biome Stone,Smooth Basalt,,,,
J,1,4,Exotic & Biome Stone,,,,,
J,1,5,Exotic & Biome Stone,,,,,
J,1,6,Exotic & Biome Stone,,,,,
J,1,7,Exotic & Biome Stone,,,,,
J,1,8,Exotic & Biome Stone,,,,,
J,1,9,Exotic & Biome Stone,,,,,
J,2,1,UNUSED,,,,,
J,2,2,UNUSED,,,,,
J,2,3,UNUSED,,,,,
J,2,4,UNUSED,,,,,
J,2,5,UNUSED,,,,,
J,2,6,UNUSED,,,,,
J,2,7,UNUSED,,,,,
J,2,8,UNUSED,,,,,
J,2,9,UNUSED,,,,,
K,1,1,Organic Terrain & Flora,Flowers (All),,,,
K,1,2,Organic Terrain & Flora,Leaf Litter,,,,
K,1,3,Organic Terrain & Flora,Moss Block,Moss Block|Pale Moss Block,,,
K,1,4,Organic Terrain & Flora,Moss Carpet,Moss Carpet|Pale Moss Carpet,,,
K,1,5,Organic Terrain & Flora,Mycelium,,,,
K,1,6,Organic Terrain & Flora,Pitcher Pods,,,,
K,1,7,Organic Terrain & Flora,Sea Pickles,,,,
K,1,8,Organic Terrain & Flora,Torchflower Seeds,,,,
K,1,9,Organic Terrain & Flora,Dripleaf,Small Dripleaf|Big Dripleaf|Pale Hanging Moss,,,
K,2,1,"Sand, Gravel & Sandstone",Chiseled Sandstone,,,,
K,2,2,"Sand, Gravel & Sandstone",Cut Sandstone,,,,
K,2,3,"Sand, Gravel & Sandstone",Flint,,,,
K,2,4,"Sand, Gravel & Sandstone",Gravel,,,,
K,2,5,"Sand, Gravel & Sandstone",Red Sand,,,,
K,2,6,"Sand, Gravel & Sandstone",Red Sandstone (All Variants),,,,
K,2,7,"Sand, Gravel & Sandstone",Sand,,,,
K,2,8,"Sand, Gravel & Sandstone",Sandstone,,,,
K,2,9,"Sand, Gravel & Sandstone",Smooth Sandstone,,,,
L,1,1,Cold & Frozen Terrain,Blue Ice,,,,
L,1,2,Cold & Frozen Terrain,Ice,,,,
L,1,3,Cold & Frozen Terrain,Packed Ice,,,,
L,1,4,Cold & Frozen Terrain,Powder Snow Bucket,,,,
L,1,5,Cold & Frozen Terrain,Snow,,,,
L,1,6,Cold & Frozen Terrain,Snow Block,,,,
L,1,7,Cold & Frozen Terrain,Snowballs,,,,
L,1,8,Cold & Frozen Terrain,,,,,
L,1,9,Cold & Frozen Terrain,,,,,
L,2,1,Ores & Raw Metals,Ancient Debris / Netherite (All Forms),,,,
L,2,2,Ores & Raw Metals,Coal (All Forms),,,,
L,2,3,Ores & Raw Metals,Copper (All Forms),,,,
L,2,4,Ores & Raw Metals,Diamond (All Forms),,,,
L,2,5,Ores & Raw Metals,Emerald (All Forms),,,,
L,2,6,Ores & Raw Metals,Gold (All Forms),,,,
L,2,7,Ores & Raw Metals,Iron (All Forms),,,,
L,2,8,Ores & Raw Metals,Lapis (All Forms),,,,
L,2,9,Ores & Raw Metals,Redstone (All Forms),,,,
M,1,1,Farming - Plant Materials,Bamboo & Bamboo Blocks,,,,
M,1,2,Farming - Plant Materials,Cactus,,,,
M,1,3,Farming - Plant Materials,Cocoa Beans,,,,
M,1,4,Farming - Plant Materials,Kelp,,,,
M,1,5,Farming - Plant Materials,Sugar Cane,,,,
M,1,6,Farming - Plant Materials,Turtle Eggs,,,,
M,1,7,Farming - Plant Materials,,,,,
M,1,8,Farming - Plant Materials,,,,,
M,1,9,Farming - Plant Materials,,,,,
M,2,1,Farming - Vegetables,Beetroot & Seeds,,,,
M,2,2,Farming - Vegetables,Carrots,,,,
M,2,3,Farming - Vegetables,Mushrooms,,,,
M,2,4,Farming - Vegetables,Potatoes,,,,
M,2,5,Farming - Vegetables,Pumpkins & Seeds,,,,
M,2,6,Farming - Vegetables,Wheat & Seeds,,,,
M,2,7,Farming - Vegetables,,,,,
M,2,8,Farming - Vegetables,,,,,
M,2,9,Farming - Vegetables,,,,,
N,1,1,Farming - Prepared Foods,Baked Goods (Cookies / Cake / Pies),,,,
N,1,2,Farming - Prepared Foods,Bread,,,,
N,1,3,Farming - Prepared Foods,Golden Apples (All),,,,
N,1,4,Farming - Prepared Foods,Golden Carrots,,,,
N,1,5,Farming - Prepared Foods,Stews & Soups (All),,,,
N,1,6,Farming - Prepared Foods,,,,,
N,1,7,Farming - Prepared Foods,,,,,
N,1,8,Farming - Prepared Foods,,,,,
N,1,9,Farming - Prepared Foods,,,,,
N,2,1,Farming - Fruits,Apples,,,,
N,2,2,Farming - Fruits,Glow Berries,,,,
N,2,3,Farming - Fruits,Melons,,,,
N,2,4,Farming - Fruits,Sweet Berries,,,,
N,2,5,Farming - Fruits,,,,,
N,2,6,Farming - Fruits,,,,,
N,2,7,Farming - Fruits,,,,,
N,2,8,Farming - Fruits,,,,,
N,2,9,Farming - Fruits,,,,,
O,1,1,UNUSED,,,,,
O,1,2,UNUSED,,,,,
O,1,3,UNUSED,,,,,
O,1,4,UNUSED,,,,,
O,1,5,UNUSED,,,,,
O,1,6,UNUSED,,,,,
O,1,7,UNUSED,,,,,
O,1,8,UNUSED,,,,,
O,1,9,UNUSED,,,,,
O,2,1,Farming - Meats & Animal Products,Cooked Fish,,,,
O,2,2,Farming - Meats & Animal Products,Cooked Meats (All),,,,
O,2,3,Farming - Meats & Animal Products,Eggs,,,,
O,2,4,Farming - Meats & Animal Products,Honey Bottles / Honeycomb,,,,
O,2,5,Farming - Meats & Animal Products,Raw Fish,,,,
O,2,6,Farming - Meats & Animal Products,Raw Meats (All),,,,
O,2,7,Farming - Meats & Animal Products,,,,,
O,2,8,Farming - Meats & Animal Products,,,,,
O,2,9,Farming - Meats & Animal Products,,,,,
P,1,1,Utilities,Armor Stands,,,,
P,1,2,Utilities,Beds (All Colors),,,,
P,1,3,Utilities,Bells,,,,
P,1,4,Utilities,Doors (All),,,,
P,1,5,Utilities,Flint and Steel,,,,
P,1,6,Utilities,Job Site Blocks (All),,,,
P,1,7,Utilities,Leads,,,,
P,1,8,Utilities,Mob Buckets (All Mobs),,,,
P,1,9,Utilities,Name Tags,,,,
P,2,1,Overworld Wood - Growth Material,Leaves (All Types),,,,
P,2,2,Overworld Wood - Growth Material,Saplings (All Types),,,,
P,2,3,Overworld Wood - Growth Material,,,,,
P,2,4,Overworld Wood - Growth Material,,,,,
P,2,5,Overworld Wood - Growth Material,,,,,
P,2,6,Overworld Wood - Growth Material,,,,,
P,2,7,Overworld Wood - Growth Material,,,,,
P,2,8,Overworld Wood - Growth Material,,,,,
P,2,9,Overworld Wood - Growth Material,,,,,
Q,1,1,Utilities,Signs & Hanging Signs (All),,,,
Q,1,2,Utilities,Sponge,,,,
Q,1,3,Utilities,Trapdoors (All),,,,
Q,1,4,Utilities,,,,,
Q,1,5,Utilities,,,,,
Q,1,6,Utilities,,,,,
Q,1,7,Utilities,,,,,
Q,1,8,Utilities,,,,,
Q,1,9,Utilities,,,,,
Q,2,1,Overworld Wood - Logs,Acacia Logs,,,,
Q,2,2,Overworld Wood - Logs,Birch Logs,,,,
Q,2,3,Overworld Wood - Logs,Cherry Logs,,,,
Q,2,4,Overworld Wood - Logs,Dark Oak Logs,,,,
Q,2,5,Overworld Wood - Logs,Jungle Logs,,,,
Q,2,6,Overworld Wood - Logs,Mangrove Logs,,,,
Q,2,7,Overworld Wood - Logs,Oak Logs,,,,
Q,2,8,Overworld Wood - Logs,Pale Oak Logs,,,,
Q,2,9,Overworld Wood - Logs,Spruce Logs,,,,
R,1,1,Oceanic Materials,Coral (All Types),,,,
R,1,2,Oceanic Materials,Coral Blocks (All Types),,,,
R,1,3,Oceanic Materials,Coral Fans (All Types),,,,
R,1,4,Oceanic Materials,Dark Prismarine,,,,
R,1,5,Oceanic Materials,Prismarine,,,,
R,1,6,Oceanic Materials,Prismarine Bricks,,,,
R,1,7,Oceanic Materials,Prismarine Crystals,,,,
R,1,8,Oceanic Materials,Prismarine Shards,,,,
R,1,9,Oceanic Materials,,,,,
R,2,1,Overworld Wood - Planks,Acacia Planks,,,,
R,2,2,Overworld Wood - Planks,Birch Planks,,,,
R,2,3,Overworld Wood - Planks,Cherry Planks,,,,
R,2,4,Overworld Wood - Planks,Dark Oak Planks,,,,
R,2,5,Overworld Wood - Planks,Jungle Planks,,,,
R,2,6,Overworld Wood - Planks,Mangrove Planks,,,,
R,2,7,Overworld Wood - Planks,Oak Planks,,,,
R,2,8,Overworld Wood - Planks,Pale Oak Planks,,,,
R,2,9,Overworld Wood - Planks,Spruce Planks,,,,
S,1,1,Nether Materials,Campfires (Normal & Soul),,,,
S,1,2,Nether Materials,Crimson Nylium,,,,
S,1,3,Nether Materials,Crimson Stems & Planks,,,,
S,1,4,Nether Materials,Fungus (Crimson & Warped),,,,
S,1,5,Nether Materials,Glowstone & Glowstone Dust,,,,
S,1,6,Nether Materials,Magma Block,,,,
S,1,7,Nether Materials,Magma Columns (Addon),,,,
S,1,8,Nether Materials,Nether Wart & Wart Block,,,,
S,1,9,Nether Materials,Netherrack,,,,
S,2,1,Redstone & Logic,Buttons (All),,,,
S,2,2,Redstone & Logic,Comparator,,,,
S,2,3,Redstone & Logic,Levers,,,,
S,2,4,Redstone & Logic,Lightning Rods,,,,
S,2,5,Redstone & Logic,Observer,,,,
S,2,6,Redstone & Logic,Piston,,,,
S,2,7,Redstone & Logic,Pressure Plates (All),,,,
S,2,8,Redstone & Logic,Redstone Dust,,,,
S,2,9,Redstone & Logic,Redstone Torch,,,,
T,1,1,Nether Materials,Obsidian & Crying Obsidian,,,,
T,1,2,Nether Materials,Quartz Ore & Quartz,,,,
T,1,3,Nether Materials,Shroomlight,,,,
T,1,4,Nether Materials,Soul Sand,,,,
T,1,5,Nether Materials,Soul Soil,,,,
T,1,6,Nether Materials,Vines (Twisting & Weeping),,,,
T,1,7,Nether Materials,Warped Nylium,,,,
T,1,8,Nether Materials,Warped Stems & Planks,,,,
T,1,9,Nether Materials,,,,,
T,2,1,Redstone & Logic,Repeater,,,,
T,2,2,Redstone & Logic,Sticky Piston,,,,
T,2,3,Redstone & Logic,,,,,
T,2,4,Redstone & Logic,,,,,
T,2,5,Redstone & Logic,,,,,
T,2,6,Redstone & Logic,,,,,
T,2,7,Redstone & Logic,,,,,
T,2,8,Redstone & Logic,,,,,
T,2,9,Redstone & Logic,,,,,
U,1,1,Rare & Boss Mob Drops,Armadillo Scute,,,,
U,1,2,Rare & Boss Mob Drops,Blaze Powder,,,,
U,1,3,Rare & Boss Mob Drops,Chorus Fruit,,,,
U,1,4,Rare & Boss Mob Drops,Dragon Breath,,,,
U,1,5,Rare & Boss Mob Drops,Echo Shard,,,,
U,1,6,Rare & Boss Mob Drops,Eye of Ender,,,,
U,1,7,Rare & Boss Mob Drops,Heart of the Sea,,,,
U,1,8,Rare & Boss Mob Drops,Heavy Core,,,,
U,1,9,Rare & Boss Mob Drops,Nether Star,,,,
U,2,1,Mob Drops & Loot,Blaze Rod,,,,
U,2,2,Mob Drops & Loot,Bone Meal,,,,
U,2,3,Mob Drops & Loot,Bones,,,,
U,2,4,Mob Drops & Loot,Breeze Rods,,,,
U,2,5,Mob Drops & Loot,Ender Pearl,,,,
U,2,6,Mob Drops & Loot,Feathers,,,,
U,2,7,Mob Drops & Loot,Ghast Tear,,,,
U,2,8,Mob Drops & Loot,Glow Ink Sac,,,,
U,2,9,Mob Drops & Loot,Gunpowder,,,,
V,1,1,Rare & Boss Mob Drops,Popped Chorus Fruit,,,,
V,1,2,Rare & Boss Mob Drops,Shulker Shell,,,,
V,1,3,Rare & Boss Mob Drops,Totem of Undying,,,,
V,1,4,Rare & Boss Mob Drops,Wither Skeleton Skull,,,,
V,1,5,Rare & Boss Mob Drops,,,,,
V,1,6,Rare & Boss Mob Drops,,,,,
V,1,7,Rare & Boss Mob Drops,,,,,
V,1,8,Rare & Boss Mob Drops,,,,,
V,1,9,Rare & Boss Mob Drops,,,,,
V,2,1,Mob Drops & Loot,Ink Sac,,,,
V,2,2,Mob Drops & Loot,Leather,,,,
V,2,3,Mob Drops & Loot,Magma Cream,,,,
V,2,4,Mob Drops & Loot,Nautilus Shell,,,,
V,2,5,Mob Drops & Loot,Phantom Membrane,,,,
V,2,6,Mob Drops & Loot,Rotten Flesh,,,,
V,2,7,Mob Drops & Loot,Slimeball,,,,
V,2,8,Mob Drops & Loot,Spider Eye,,,,
V,2,9,Mob Drops & Loot,String,,,,
W,1,1,UNUSED,,,,,
W,1,2,UNUSED,,,,,
W,1,3,UNUSED,,,,,
W,1,4,UNUSED,,,,,
W,1,5,UNUSED,,,,,
W,1,6,UNUSED,,,,,
W,1,7,UNUSED,,,,,
W,1,8,UNUSED,,,,,
W,1,9,UNUSED,,,,,
W,2,1,Mob Drops & Loot,TNT,,,,
W,2,2,Mob Drops & Loot,Wind Charges,,,,
W,2,3,Mob Drops & Loot,,,,,
W,2,4,Mob Drops & Loot,,,,,
W,2,5,Mob Drops & Loot,,,,,
W,2,6,Mob Drops & Loot,,,,,
W,2,7,Mob Drops & Loot,,,,,
W,2,8,Mob Drops & Loot,,,,,
W,2,9,Mob Drops & Loot,,,,,
X,1,1,UNUSED,,,,,
X,1,2,UNUSED,,,,,
X,1,3,UNUSED,,,,,
X,1,4,UNUSED,,,,,
X,1,5,UNUSED,,,,,
X,1,6,UNUSED,,,,,
X,1,7,UNUSED,,,,,
X,1,8,UNUSED,,,,,
X,1,9,UNUSED,,,,,
X,2,1,UNUSED,,,,,
X,2,2,UNUSED,,,,,
X,2,3,UNUSED,,,,,
X,2,4,UNUSED,,,,,
X,2,5,UNUSED,,,,,
X,2,6,UNUSED,,,,,
X,2,7,UNUSED,,,,,
X,2,8,UNUSED,,,,,
X,2,9,UNUSED,,,,,
